index,input,match,non_exact,street,coordinate,tiger,lr
"0","3996  SPALDING LN  DUNWOODY, fulton_county, GA, 303501167","Match","Non_Exact","3996 SPALDING LN, DUNWOODY, GA, 30350","-84.27447237499996,33.958778677000055","17402892","L"
"2317","TRADITION PARKWAY 8   EAST POINT, fulton_county, GA, 30349","No_Match"
"3649","967  FRANCIS LN  FAIRBURN, fulton_county, GA, 302131786","Match","Non_Exact","967 FRANCIS LN, FAIRBURN, GA, 30213","-84.56018910499995,33.559010930000056","636197074","R"
"1","7510  SPALDING LN  SANDY SPRINGS, fulton_county, GA, 303501163","Match","Non_Exact","7510 SPALDING LN, DUNWOODY, GA, 30350","-84.27468764099996,33.96255239900006","17402892","L"
"2316","4715  TRADITION PKWY  ATLANTA, fulton_county, GA, 303491975","No_Match"
"2","7520  SPALDING LN  SANDY SPRINGS, fulton_county, GA, 303501163","Match","Non_Exact","7520 SPALDING LN, DUNWOODY, GA, 30350","-84.27469036299999,33.962564447000034","17402892","L"
"2315","4453  MUHAMMAD DR  ATLANTA, fulton_county, GA, 303491933","Match","Non_Exact","4453 MUHAMMAD DR, ATLANTA, GA, 30349","-84.52505968099996,33.63217026900003","624712279","R"
"3","2635  BRAFFINGTON CT  SANDY SPRINGS, fulton_county, GA, 303505607","Match","Non_Exact","2635 BRAFFINGTON CT, DUNWOODY, GA, 30350","-84.28706764899994,33.95829072500004","17433989","R"
"2314","4145  WILL LEE RD  ATLANTA, fulton_county, GA, 303491951","Match","Non_Exact","4145 WILL LEE RD, ATLANTA, GA, 30349","-84.52366938799997,33.63168247900006","624712276","R"
"4","2685  BRAFFINGTON CT  SANDY SPRINGS, fulton_county, GA, 303505609","Match","Non_Exact","2685 BRAFFINGTON CT, DUNWOODY, GA, 30350","-84.28638044799999,33.957984631000045","17361420","R"
"2313","3975  WILL LEE RD  ATLANTA, fulton_county, GA, 303491947","Match","Non_Exact","3975 WILL LEE RD, ATLANTA, GA, 30349","-84.51656831599996,33.63136762400006","623771711","R"
"5","305  ALDENSHIRE PL  SANDY SPRINGS, fulton_county, GA, 303505658","Match","Non_Exact","305 ALDENSHIRE PL, DUNWOODY, GA, 30350","-84.28688181399997,33.95842043700003","17361421","R"
"2312","4895  BEN HILL RD  COLLEGE PARK, fulton_county, GA, 303492357","Match","Non_Exact","4895 BEN HILL RD, ATLANTA, GA, 30349","-84.50608405599996,33.62261923300008","17338876","R"
"6","325  ALDENSHIRE PL  SANDY SPRINGS, fulton_county, GA, 303505658","Match","Non_Exact","325 ALDENSHIRE PL, DUNWOODY, GA, 30350","-84.28663574099994,33.95858052600005","17361421","R"
"2311","4090  MORNING TRL  ATLANTA, fulton_county, GA, 303492526","No_Match"
"7","335  ALDENSHIRE PL  SANDY SPRINGS, fulton_county, GA, 303505658","Match","Non_Exact","335 ALDENSHIRE PL, DUNWOODY, GA, 30350","-84.28650161499996,33.95865019100006","17361421","R"
"2310","4110  JEFFREY DR  ATLANTA, fulton_county, GA, 303492524","No_Match"
"8","3955  DAHLWINY CT  SANDY SPRINGS, fulton_county, GA, 303501153","Match","Non_Exact","3955 DAHLWINY CT, DUNWOODY, GA, 30350","-84.27710101499997,33.95847214100007","624626901","R"
"3641","131  POPLAR ST  FAIRBURN, fulton_county, GA, 302131746","No_Match"
"4972","CAMPBELLTON FAIRBURN RD  UNION CITY, fulton_county, GA, 30291","No_Match"
"9","3947  DAHLWINY CT  SANDY SPRINGS, fulton_county, GA, 303501153","Match","Non_Exact","3947 DAHLWINY CT, DUNWOODY, GA, 30350","-84.27721882299994,33.95842380800008","624626901","R"
"3642","205  CLAYTON ST  FAIRBURN, fulton_county, GA, 302131519","Match","Non_Exact","205 CLAYTON ST, FAIRBURN, GA, 30213","-84.57961292499994,33.560050766000074","17350789","R"
"4973","515  EAGLES PT  FAIRBURN, fulton_county, GA, 302135158","Match","Non_Exact","515 EAGLES PT, FAIRBURN, GA, 30213","-84.59890503299994,33.60543088600008","643519092","R"
"3643","263  SENOIA RD  FAIRBURN, fulton_county, GA, 302131568","Match","Non_Exact","263 SENOIA RD, FAIRBURN, GA, 30213","-84.58330411399999,33.55643330600003","17376480","R"
"4974","5365  ROSEWOOD PL  FAIRBURN, fulton_county, GA, 302135142","Match","Non_Exact","5365 ROSEWOOD PL, FAIRBURN, GA, 30213","-84.59842821499996,33.60605146000006","643519395","L"
"3644","120  EDELWEISS DR  FAIRBURN, fulton_county, GA, 302131709","Match","Non_Exact","120 EDELWEISS DR, FAIRBURN, GA, 30213","-84.56885877699995,33.560885374000065","17350864","L"
"4975","5341  ROSEWOOD PL  FAIRBURN, fulton_county, GA, 302135142","Match","Non_Exact","5341 ROSEWOOD PL, FAIRBURN, GA, 30213","-84.59729722099996,33.60678986100004","643519396","L"
"3645","78  ALPS CT  FAIRBURN, fulton_county, GA, 30213","Match","Non_Exact","78 ALPS CT, FAIRBURN, GA, 30213","-84.56939674099993,33.560338279000064","17350862","L"
"4976","6578  MUIRFIELD PT  FAIRBURN, fulton_county, GA, 302135150","Match","Non_Exact","6578 MUIRFIELD PT, FAIRBURN, GA, 30213","-84.59218463299999,33.61498320900006","643410146","L"
"3646","GRAHAM RD  FAIRBURN, fulton_county, GA, 30213","No_Match"
"4977","6617  OAK HILL PASS  FAIRBURN, fulton_county, GA, 302135153","No_Match"
"2319","RIDGE RD  EAST POINT, fulton_county, GA, RIDGE RD  EAST POINT GA","No_Match"
"3647","MEHAFFEY DR  FAIRBURN, fulton_county, GA, 30213","No_Match"
"4978","5165  THOMPSON RD  FAIRBURN, fulton_county, GA, 302132057","Match","Non_Exact","5165 THOMPSON RD, FAIRBURN, GA, 30213","-84.60538464099994,33.61565411200007","643359907","R"
"2318","4761  HIGHPOINT WAY  ATLANTA, fulton_county, GA, 303491973","No_Match"
"3648","630  PARKWAY RD  UNION CITY, fulton_county, GA, 302916560","No_Match"
"4979","THOMPSON RD  UNION CITY, fulton_county, GA, 30213","No_Match"
"4990","4848  TRIGER LN  FAIRBURN, fulton_county, GA, 302132085","Match","Non_Exact","4848 TRIGER LN, FAIRBURN, GA, 30213","-84.61232828699997,33.62440858700006","625747267","R"
"3660","7265  TALOGA LN  UNION CITY, fulton_county, GA, 302915173","Match","Non_Exact","7265 TALOGA LN, UNION CITY, GA, 30291","-84.52981863499997,33.557850571000074","627315109","L"
"4991","4607  DERBY LOOP  FAIRBURN, fulton_county, GA, 302132191","Match","Non_Exact","4607 DERBY LOOP, FAIRBURN, GA, 30213","-84.60744478399994,33.62551679400008","635310468","L"
"3661","7258  TALOGA LN  UNION CITY, fulton_county, GA, 302915167","Match","Non_Exact","7258 TALOGA LN, UNION CITY, GA, 30291","-84.52981684499997,33.557879598000056","627315109","R"
"4992","655  WILDBOAR CT  FAIRBURN, fulton_county, GA, 302132192","Match","Non_Exact","655 WILDBOAR CT, FAIRBURN, GA, 30213","-84.60947687399994,33.622497933000034","644706558","L"
"3662","7306  TALOGA LN  UNION CITY, fulton_county, GA, 302915166","Match","Non_Exact","7306 TALOGA LN, UNION CITY, GA, 30291","-84.52963286299996,33.557480748000046","627315123","R"
"4993","665  WILDBOAR CT  FAIRBURN, fulton_county, GA, 302132192","Match","Non_Exact","665 WILDBOAR CT, FAIRBURN, GA, 30213","-84.60961961499999,33.622502317000055","644706558","L"
"1000","5515  VILLAGE TRCE  UNION CITY, fulton_county, GA, 302915154","Match","Non_Exact","5515 VILLAGE TRCE, UNION CITY, GA, 30291","-84.51484781799996,33.57033991700007","636772093","R"
"2331","4587  PARKWAY CIR  COLLEGE PARK, fulton_county, GA, 303499403","Match","Non_Exact","4587 PARKWAY CIR, ATLANTA, GA, 30349","-84.51560113299996,33.635436929000036","635310729","L"
"2330","4642  PARKWAY CIR  ATLANTA, fulton_county, GA, 303499404","Match","Non_Exact","4642 PARKWAY CIR, ATLANTA, GA, 30349","-84.51361979999996,33.63407360900004","635310730","L"
"2328","4656  PARKWAY CIR  ATLANTA, fulton_county, GA, 303499404","Match","Non_Exact","4656 PARKWAY CIR, ATLANTA, GA, 30349","-84.51409743699998,33.63414249400006","635310730","L"
"2327","4676  PARKWAY CIR  ATLANTA, fulton_county, GA, 303499404","Match","Non_Exact","4676 PARKWAY CIR, ATLANTA, GA, 30349","-84.51454631699994,33.63456548000005","635310730","L"
"2326","4203  LEGACY SQ  ATLANTA, fulton_county, GA, 303499407","Match","Non_Exact","4203 LEGACY SQ, ATLANTA, GA, 30349","-84.51279907799994,33.63429277800003","624712253","L"
"2325","4618  LEGACY SQ  ATLANTA, fulton_county, GA, 303499400","Match","Non_Exact","4618 LEGACY SQ, ATLANTA, GA, 30349","-84.51245307999994,33.63373265900003","624712253","R"
"2324","4629  LEGACY SQ  ATLANTA, fulton_county, GA, 303499401","Match","Non_Exact","4629 LEGACY SQ, ATLANTA, GA, 30349","-84.51207808099997,33.63394634100007","624712248","L"
"2323","4578  PARKWAY CIR  ATLANTA, fulton_county, GA, 303499402","Match","Non_Exact","4578 PARKWAY CIR, ATLANTA, GA, 30349","-84.51316621699993,33.63610649300006","644697565","R"
"2322","4576  PARKWAY CIR  ATLANTA, fulton_county, GA, 303499402","Match","Non_Exact","4576 PARKWAY CIR, ATLANTA, GA, 30349","-84.51320199599996,33.636178323000024","644697565","R"
"2321","4345  BEN HILL RD  ATLANTA, fulton_county, GA, 303492027","Match","Non_Exact","4345 BEN HILL RD, ATLANTA, GA, 30349","-84.51148461499997,33.63474003400006","647345372","R"
"3652","7376  BLUE JAY WAY  UNION CITY, fulton_county, GA, 302915163","Match","Non_Exact","7376 BLUE JAY WAY, UNION CITY, GA, 30291","-84.52777628499996,33.550830501000064","627315267","R"
"4983","5050  SOUTHWOOD RD  FAIRBURN, fulton_county, GA, 302132038","Match","Non_Exact","5050 SOUTHWOOD RD, FAIRBURN, GA, 30213","-84.61007404699996,33.62027408300003","635609527","L"
"3653","7395  BLUE JAY WAY  UNION CITY, fulton_county, GA, 302915181","Match","Non_Exact","7395 BLUE JAY WAY, UNION CITY, GA, 30291","-84.52780810999997,33.55071022800007","627315267","L"
"4984","4829  TRIGER LN  FAIRBURN, fulton_county, GA, 302132088","Match","Non_Exact","4829 TRIGER LN, FAIRBURN, GA, 30213","-84.61201663599996,33.62488362800008","625747267","L"
"3654","7243  MADISON CIR  UNION CITY, fulton_county, GA, 302915161","Match","Non_Exact","7243 MADISON CIR, UNION CITY, GA, 30291","-84.52892195799996,33.55100324700004","634083385","R"
"4985","4869  TRIGER LN  FAIRBURN, fulton_county, GA, 302132087","Match","Non_Exact","4869 TRIGER LN, FAIRBURN, GA, 30213","-84.61234302499997,33.62343826000006","625747598","R"
"3655","7246  MADISON CIR  UNION CITY, fulton_county, GA, 302915183","Match","Non_Exact","7246 MADISON CIR, UNION CITY, GA, 30291","-84.52898953499994,33.55087711400006","634083385","L"
"4986","4880  TRIGER LN  FAIRBURN, fulton_county, GA, 302132086","Match","Non_Exact","4880 TRIGER LN, FAIRBURN, GA, 30213","-84.61232857499994,33.62314538500004","625747598","L"
"3656","7349  TIFTON WAY  UNION CITY, fulton_county, GA, 302915162","Match","Non_Exact","7349 TIFTON WAY, UNION CITY, GA, 30291","-84.52962618599997,33.55153167100008","646400774","R"
"4987","6880  WILDBOAR DR  FAIRBURN, fulton_county, GA, 302132090","Match","Non_Exact","6880 WILDBOAR DR, FAIRBURN, GA, 30213","-84.61212218699995,33.623887152000066","625747234","R"
"3657","7372  MELHANA LN  UNION CITY, fulton_county, GA, 302915178","Match","Non_Exact","7372 MELHANA LN, UNION CITY, GA, 30291","-84.53392456599994,33.550357650000024","627315360","L"
"4988","6876  WILDBOAR DR  FAIRBURN, fulton_county, GA, 302132090","Match","Non_Exact","6876 WILDBOAR DR, FAIRBURN, GA, 30213","-84.61209342899997,33.62388585900004","625747234","R"
"3658","OAKLEY INDUSTRIAL BLVD  SOUTH FULTON, fulton_county, GA, 30291","No_Match"
"4989","4852  TRIGER LN  FAIRBURN, fulton_county, GA, 302132085","Match","Non_Exact","4852 TRIGER LN, FAIRBURN, GA, 30213","-84.61232369199996,33.624267573000054","625747267","R"
"2329","4650  PARKWAY CIR  COLLEGE PARK, fulton_county, GA, 303499404","Match","Non_Exact","4650 PARKWAY CIR, ATLANTA, GA, 30349","-84.51389696199999,33.63409708700004","635310730","L"
"3659","OAKLEY INDUSTRIAL BLVD  UNION CITY, fulton_county, GA, 30291","No_Match"
"3670","7279  MADISON CIR  UNION CITY, fulton_county, GA, 302915161","Match","Non_Exact","7279 MADISON CIR, UNION CITY, GA, 30291","-84.53029118699999,33.55010065000005","634083382","R"
"3671","7278  MADISON CIR  UNION CITY, fulton_county, GA, 302915160","Match","Non_Exact","7278 MADISON CIR, UNION CITY, GA, 30291","-84.53060906199994,33.55159424300007","634083382","L"
"3672","7282  MADISON CIR  UNION CITY, fulton_county, GA, 302915160","Match","Non_Exact","7282 MADISON CIR, UNION CITY, GA, 30291","-84.53075053899994,33.551917020000076","634083382","L"
"3673","7325  TIFTON WAY  UNION CITY, fulton_county, GA, 302915162","Match","Non_Exact","7325 TIFTON WAY, UNION CITY, GA, 30291","-84.52975547499994,33.55191563400007","646400774","R"
"1011","5566  VILLAGE TRCE  UNION CITY, fulton_county, GA, 302915147","Match","Non_Exact","5566 VILLAGE TRCE, UNION CITY, GA, 30291","-84.51410696599999,33.57180161400004","636772002","L"
"2342","4584  PARKVIEW SQ  COLLEGE PARK, fulton_county, GA, 303499408","Match","Non_Exact","4584 PARKVIEW SQ, ATLANTA, GA, 30349","-84.51375419199996,33.63559826300008","644697287","L"
"1010","5500  VILLAGE TRCE  UNION CITY, fulton_county, GA, 302915157","Match","Non_Exact","5500 VILLAGE TRCE, UNION CITY, GA, 30291","-84.51592116599994,33.571639950000076","636772107","L"
"2341","4514  PARKVIEW SQ  ATLANTA, fulton_county, GA, 303499408","Match","Non_Exact","4514 PARKVIEW SQ, ATLANTA, GA, 30349","-84.51444502599998,33.63653660600005","624703412","R"
"2340","4524  PARKVIEW SQ  ATLANTA, fulton_county, GA, 303499408","Match","Non_Exact","4524 PARKVIEW SQ, ATLANTA, GA, 30349","-84.51409882599995,33.63504334300006","624712283","R"
"1008","5547  VILLAGE TRCE  UNION CITY, fulton_county, GA, 302915154","Match","Non_Exact","5547 VILLAGE TRCE, UNION CITY, GA, 30291","-84.51533642099997,33.57056230100005","636772093","R"
"2339","4526  PARKVIEW SQ  ATLANTA, fulton_county, GA, 303499408","Match","Non_Exact","4526 PARKVIEW SQ, ATLANTA, GA, 30349","-84.51416070799996,33.635139149000054","624712283","R"
"1007","5555  VILLAGE TRCE  UNION CITY, fulton_county, GA, 302915154","Match","Non_Exact","5555 VILLAGE TRCE, UNION CITY, GA, 30291","-84.51545470899998,33.57062323100007","636772093","R"
"2338","4513  PARKWAY CIR  ATLANTA, fulton_county, GA, 303499403","Match","Non_Exact","4513 PARKWAY CIR, ATLANTA, GA, 30349","-84.51560591499998,33.63688910400003","624712284","L"
"1006","5557  VILLAGE TRCE  UNION CITY, fulton_county, GA, 302915154","Match","Non_Exact","5557 VILLAGE TRCE, UNION CITY, GA, 30291","-84.51548434099999,33.57063852500005","636772093","R"
"2337","4519  PARKWAY CIR  ATLANTA, fulton_county, GA, 303499403","Match","Non_Exact","4519 PARKWAY CIR, ATLANTA, GA, 30349","-84.51548976199996,33.63717606800003","624712284","L"
"1005","5201  VILLAGE CT  UNION CITY, fulton_county, GA, 302915146","Match","Non_Exact","5201 VILLAGE CT, UNION CITY, GA, 30291","-84.51582186199994,33.57157330600006","636772120","R"
