index,input,match,non_exact,street,coordinate,tiger,lr
"170209","425  MATHEWSON PL SW ATLANTA, fulton_county, GA, 303101243","Match","Non_Exact","425 MATHEWSON PL SW, ATLANTA, GA, 30310","-84.43627351399994,33.74369225000004","17340569","R"
"170208","1269  SELLS AVE SW ATLANTA, fulton_county, GA, 303101683","Match","Non_Exact","1269 SELLS AVE SW, ATLANTA, GA, 30310","-84.42897082999997,33.74524629300004","17340645","R"
"171539","1982  JOSEPH E BOONE BLVD NW ATLANTA, fulton_county, GA, 303141141","No_Match"
"169221","678  JETT ST NW ATLANTA, fulton_county, GA, 303188539","Match","Non_Exact","678 JETT ST NW, ATLANTA, GA, 30318","-84.40970585299993,33.76728504600004","17342230","L"
"169220","693  NEAL ST NW ATLANTA, fulton_county, GA, 303186817","Match","Non_Exact","693 NEAL ST NW, ATLANTA, GA, 30318","-84.41090288299995,33.766375322000044","17342729","R"
"169223","436  ELM ST NW ATLANTA, fulton_county, GA, 303188502","Match","Non_Exact","436 ELM ST NW, ATLANTA, GA, 30318","-84.40884290299994,33.76686220100004","17342309","L"
"169222","444  ELM ST NW ATLANTA, fulton_county, GA, 303188502","Match","Non_Exact","444 ELM ST NW, ATLANTA, GA, 30318","-84.40882204899998,33.76718693300006","17342309","L"
"169214","478  ENGLISH AVE NW ATLANTA, fulton_county, GA, 303186810","Match","Non_Exact","478 ENGLISH AVE NW, ATLANTA, GA, 30318","-84.41350633199994,33.768001843000036","17342189","L"
"170203","343  HOPKINS ST SW ATLANTA, fulton_county, GA, 303101619","Match","Non_Exact","343 HOPKINS ST SW, ATLANTA, GA, 30310","-84.43062386599996,33.74539042600003","17340643","R"
"171534","377  WESTCHESTER BLVD NW ATLANTA, fulton_county, GA, 303141132","Match","Non_Exact","377 WESTCHESTER BLVD NW, ATLANTA, GA, 30314","-84.45277114799995,33.76534798300003","17340229","R"
"172866","3395  HAGGER CT  EAST POINT, fulton_county, GA, 303445678","No_Match"
"170202","CHICAMAUGA AVE SW ATLANTA, fulton_county, GA, 30301","No_Match"
"171533","377  WESTCHESTER BLVD NW ATLANTA, fulton_county, GA, 303141132","Match","Non_Exact","377 WESTCHESTER BLVD NW, ATLANTA, GA, 30314","-84.45277114799995,33.76534798300003","17340229","R"
"172867","3131  SORRENTO CIR SW ATLANTA, fulton_county, GA, 303312715","Match","Non_Exact","3131 SORRENTO CIR SW, ATLANTA, GA, 30331","-84.48941940399999,33.678715288000035","17401323","R"
"169216","471  GRIFFIN ST NW ATLANTA, fulton_county, GA, 30318","Match","Non_Exact","471 GRIFFIN ST NW, ATLANTA, GA, 30318","-84.41116748799999,33.76769412600004","17342226","R"
"170201","393  HOPKINS ST SW ATLANTA, fulton_county, GA, 303101639","Match","Non_Exact","393 HOPKINS ST SW, ATLANTA, GA, 30310","-84.43065554399999,33.74417749200006","17340644","R"
"171532","377  WESTCHESTER BLVD NW ATLANTA, fulton_county, GA, 303141132","Match","Non_Exact","377 WESTCHESTER BLVD NW, ATLANTA, GA, 30314","-84.45277114799995,33.76534798300003","17340229","R"
