index,input,match,non_exact,street,coordinate,tiger,lr
"121283","3010  ASCOT LN  ROSWELL, fulton_county, GA, 300762484","Match","Non_Exact","3010 ASCOT LN, ROSWELL, GA, 30076","-84.27213319899994,34.026223420000065","647328757","L"
"121282","10170  CRESENT HILL LN  ROSWELL, fulton_county, GA, 300762475","Match","Non_Exact","10170 CRESENT HILL LN, ROSWELL, GA, 30076","-84.27577599499995,34.02739379800005","17353504","L"
"121285","3000  IVEY OAKS LN  ROSWELL, fulton_county, GA, 300763797","Match","Non_Exact","3000 IVEY OAKS LN, ROSWELL, GA, 30076","-84.27518961499999,34.02420939700005","17373777","R"
"121284","3055  ASCOT LN  ROSWELL, fulton_county, GA, 300762488","Match","Non_Exact","3055 ASCOT LN, ROSWELL, GA, 30076","-84.27074357499998,34.026138726000056","647328757","R"
"121281","2955  ASCOT LN  ROSWELL, fulton_county, GA, 300762487","Match","Non_Exact","2955 ASCOT LN, ROSWELL, GA, 30076","-84.27320738699996,34.027361202000066","17353824","R"
"121280","7  HEMINGBROUGH WAY  JOHNS CREEK, fulton_county, GA, 300221926","Match","Non_Exact","7 HEMINGBROUGH WAY, JOHNS CREEK, GA, 30022","-84.26791524699996,34.02584337500008","642688593","R"
"121279","40  HEMINGBROUGH WAY  JOHNS CREEK, fulton_county, GA, 300221926","Match","Non_Exact","40 HEMINGBROUGH WAY, JOHNS CREEK, GA, 30022","-84.26883289999995,34.02592647300003","642688593","L"
"121276","527  HAYNESBROOKE WALK  ALPHARETTA, fulton_county, GA, 300227544","Match","Non_Exact","527 HAYNESBROOKE WALK, JOHNS CREEK, GA, 30022","-84.26741928799999,34.026742771000045","623998176","L"
"121275","3127  HAYNESBROOKE LN  ALPHARETTA, fulton_county, GA, 300227531","Match","Non_Exact","3127 HAYNES BROOKE LN, JOHNS CREEK, GA, 30022","-84.26862414199996,34.026727866000044","623998179","R"
"121278","20  HEMINGBROUGH WAY  JOHNS CREEK, fulton_county, GA, 300221926","Match","Non_Exact","20 HEMINGBROUGH WAY, JOHNS CREEK, GA, 30022","-84.26735662099998,34.02452085200008","642688593","L"
"121277","3118  HAYNESBROOKE LN  JOHNS CREEK, fulton_county, GA, 300227522","Match","Non_Exact","3118 HAYNES BROOKE LN, JOHNS CREEK, GA, 30022","-84.26873725999997,34.02675672700008","623998179","L"
"121272","3100  WOODVALE CT  ALPHARETTA, fulton_county, GA, 300221920","Match","Non_Exact","3100 WOODVALE CT, JOHNS CREEK, GA, 30022","-84.27010158099995,34.027638711000066","642688565","L"
"121271","33  HEMINGBROUGH WAY  JOHNS CREEK, fulton_county, GA, 300221926","Match","Non_Exact","33 HEMINGBROUGH WAY, JOHNS CREEK, GA, 30022","-84.26872327599995,34.02488744200008","642688594","R"
"121274","2940  WOODVALE CT  ALPHARETTA, fulton_county, GA, 300221918","Match","Non_Exact","2940 WOODVALE CT, JOHNS CREEK, GA, 30022","-84.27064736199998,34.02715189700007","642688567","R"
"121273","3020  WOODVALE CT  ALPHARETTA, fulton_county, GA, 300221919","Match","Non_Exact","3020 WOODVALE CT, JOHNS CREEK, GA, 30022","-84.27183615699994,34.02717097000004","642688567","R"
"121270","10420  ASH RILL DR  ALPHARETTA, fulton_county, GA, 300225016","Match","Non_Exact","10420 ASH RILL DR, JOHNS CREEK, GA, 30022","-84.26990997399997,34.03357409400007","17375730","L"
"121269","3110  GLEN KNOLLS CT  ALPHARETTA, fulton_county, GA, 300225030","Match","Non_Exact","3110 GLENN KNOLLS CT, JOHNS CREEK, GA, 30022","-84.26908494599996,34.03249280500006","17375731","L"
"121268","585  INDIAN MILL CT  ALPHARETTA, fulton_county, GA, 300225898","Match","Non_Exact","585 INDIAN MILL CT, JOHNS CREEK, GA, 30022","-84.26932189399997,34.03457059800007","17377783","R"
"122599","6076  HILLANDALE DR  COLLEGE PARK, fulton_county, GA, 303494248","No_Match"
"121265","10160  RILLRIDGE CT  ALPHARETTA, fulton_county, GA, 300225829","Match","Non_Exact","10160 RILLRIDGE CT, JOHNS CREEK, GA, 30022","-84.26811959599996,34.02925205300005","17353836","L"
"122596","2828  OCEAN VALLEY DR  COLLEGE PARK, fulton_county, GA, 303494256","No_Match"
"121264","10200  RILLRIDGE CT  ALPHARETTA, fulton_county, GA, 300228564","Match","Non_Exact","10200 RILLRIDGE CT, JOHNS CREEK, GA, 30022","-84.26770737499999,34.02952402400007","17353836","L"
"122595","2776  OCEAN VALLEY DR  COLLEGE PARK, fulton_county, GA, 303494254","No_Match"
"121267","595  INDIAN MILL CT  ALPHARETTA, fulton_county, GA, 300225898","Match","Non_Exact","595 INDIAN MILL CT, JOHNS CREEK, GA, 30022","-84.26927666699999,34.03449050900008","17377783","R"
"122598","6052  HILLANDALE DR  COLLEGE PARK, fulton_county, GA, 303494248","No_Match"
"121266","625  INDIAN MILL CT  ALPHARETTA, fulton_county, GA, 300225899","Match","Non_Exact","625 INDIAN MILL CT, JOHNS CREEK, GA, 30022","-84.26915152299995,34.03424718300005","17377783","R"
"122597","2765  OLD FARM RD  ATLANTA, fulton_county, GA, 303494259","No_Match"
"121261","190  WENTWORTH TER  ALPHARETTA, fulton_county, GA, 300221543","Match","Non_Exact","190 WENTWORTH TER, JOHNS CREEK, GA, 30022","-84.27205485199994,34.034371960000044","644652055","L"
"122592","2042  HEATHERMERE WAY  ROSWELL, fulton_county, GA, 300758355","Match","Non_Exact","2042 HEATHERMERE WAY, MOUNTAIN PARK, GA, 30075","-84.32825144599997,34.020402972000056","636778255","R"
"121260","180  WENTWORTH TER  ALPHARETTA, fulton_county, GA, 300221543","Match","Non_Exact","180 WENTWORTH TER, JOHNS CREEK, GA, 30022","-84.27209920599995,34.03428889300005","644652055","L"
"122591","1061  MERRIVALE CHASE   ROSWELL, fulton_county, GA, 300758353","Match","Non_Exact","1061 MERRIVALE CHASE, MOUNTAIN PARK, GA, 30075","-84.32917995899999,34.02081788900006","636778292","R"
