index,input,match,non_exact,street,coordinate,tiger,lr
"104708","728  COLLIER RD NW ATLANTA, fulton_county, GA, 303181730","No_Match"
"104709","716  COLLIER COMMONS CIR NW ATLANTA, fulton_county, GA, 303181736","Match","Non_Exact","716 COLLIER COMMONS CIR NW, ATLANTA, GA, 30318","-84.41065531299995,33.808950164000066","17389698","L"
"104706","818  ANTONE ST NW ATLANTA, fulton_county, GA, 303187606","Match","Non_Exact","818 ANTONE ST NW, ATLANTA, GA, 30318","-84.41503347099996,33.79786056800003","17335212","L"
"104707","2103  SPRINGLAKE DR NW ATLANTA, fulton_county, GA, 303053926","Match","Non_Exact","2103 SPRINGLAKE DR NW, ATLANTA, GA, 30305","-84.40835197299998,33.812105409000026","17362050","R"
"104700","1635  TALLULAH ST NW ATLANTA, fulton_county, GA, 303187635","Match","Non_Exact","1635 TALLULAH ST NW, ATLANTA, GA, 30318","-84.41130103699999,33.799439402000075","17335207","R"
"104701","657  ANTONE ST NW ATLANTA, fulton_county, GA, 303187601","Match","Non_Exact","657 ANTONE ST NW, ATLANTA, GA, 30318","-84.40995472499998,33.798317918000066","17335255","R"
"104704","684  ANTONE ST NW ATLANTA, fulton_county, GA, 303184225","Match","Non_Exact","684 ANTONE ST NW, ATLANTA, GA, 30318","-84.41059430099995,33.79791872800007","17335255","L"
"104705","684  ANTONE ST NW ATLANTA, fulton_county, GA, 303184225","Match","Non_Exact","684 ANTONE ST NW, ATLANTA, GA, 30318","-84.41059430099995,33.79791872800007","17335255","L"
"104702","689  HOLMES ST NW ATLANTA, fulton_county, GA, 303187621","Match","Non_Exact","689 HOLMES ST NW, ATLANTA, GA, 30318","-84.41083263499996,33.79929764900004","17335210","R"
"104703","1642  LEONA ST NW ATLANTA, fulton_county, GA, 303184263","Match","Non_Exact","1642 LEONA ST NW, ATLANTA, GA, 30318","-84.40953681399998,33.79973242400007","17335252","L"
"108287","110  BRADFORD CT  ROSWELL, fulton_county, GA, 300764226","Match","Non_Exact","110 BRADFORD CT, ROSWELL, GA, 30076","-84.35411578799994,34.07309030300007","17386215","L"
"108288","1110  PRIMROSE DR  ROSWELL, fulton_county, GA, 300764217","Match","Non_Exact","1110 PRIMROSE DR, ROSWELL, GA, 30076","-84.35427858399999,34.07419483600006","17420546","R"
"108289","1005  BRADFORD DR  ROSWELL, fulton_county, GA, 300764224","Match","Non_Exact","1005 BRADFORD DR, ROSWELL, GA, 30076","-84.35320588399998,34.073520546000054","17386220","L"
"108283","2300  ASHTON DR  ROSWELL, fulton_county, GA, 300764232","Match","Non_Exact","2300 ASHTON DR, ROSWELL, GA, 30076","-84.35811306899996,34.07518926800003","17373530","L"
"108284","2320  ASHTON DR  ROSWELL, fulton_county, GA, 300764232","Match","Non_Exact","2320 ASHTON DR, ROSWELL, GA, 30076","-84.35824343099995,34.075185015000045","17373530","L"
"108285","2390  ASHTON DR  ROSWELL, fulton_county, GA, 300764232","Match","Non_Exact","2390 ASHTON DR, ROSWELL, GA, 30076","-84.35869859699994,34.075188042000036","17373530","L"
"108286","2535  ASHTON DR  ROSWELL, fulton_county, GA, 300764236","Match","Non_Exact","2535 ASHTON DR, ROSWELL, GA, 30076","-84.35944251999996,34.07520395300003","17373530","R"
"108280","12100  WALNUT TER  ALPHARETTA, fulton_county, GA, 300044087","Match","Non_Exact","12100 WALNUT TER, MILTON, GA, 30004","-84.34873345199998,34.07633942500007","617968537","R"
"108281","3009  BLOSSOM HILL CT  ROSWELL, fulton_county, GA, 300764263","Match","Non_Exact","3009 BLOSSOM HILL CT, ROSWELL, GA, 30076","-84.35067169699994,34.077136874000075","645945151","L"
"108282","2190  ASHTON DR  ROSWELL, fulton_county, GA, 300764207","Match","Non_Exact","2190 ASHTON DR, ROSWELL, GA, 30076","-84.35683699099997,34.075802889000045","17373532","L"
"108298","575  HICKORY FLAT RD  ALPHARETTA, fulton_county, GA, 300042614","Match","Non_Exact","575 HICKORY FLAT RD, MILTON, GA, 30004","-84.34353839399995,34.16846495300007","625390001","L"
"108299","510  HICKORY MILL LN  MILTON, fulton_county, GA, 300044405","Match","Non_Exact","510 HICKORY MILL LN, MILTON, GA, 30004","-84.34534679799998,34.16855341000007","625390015","R"
"108294","2233  ORCHARD PL  ROSWELL, fulton_county, GA, 300766008","Match","Non_Exact","2233 ORCHARD PL, ROSWELL, GA, 30076","-84.35577754999997,34.07686720800007","623911403","L"
"108295","2257  ORCHARD PL  ROSWELL, fulton_county, GA, 300766008","Match","Non_Exact","2257 ORCHARD PL, ROSWELL, GA, 30076","-84.35618444899995,34.07695844400007","623911403","L"
"108296","16050  OLD BULLPEN RD  MILTON, fulton_county, GA, 300042625","No_Match"
"108297","580  HICKORY FLAT RD  ALPHARETTA, fulton_county, GA, 300042613","Match","Non_Exact","580 HICKORY FLAT RD, MILTON, GA, 30004","-84.34242017499997,34.16832746400007","17421804","R"
"108290","595  CAMBER WOODS DR  ROSWELL, fulton_county, GA, 300764286","Match","Non_Exact","595 CAMBER WOODS DR, ROSWELL, GA, 30076","-84.35077596999997,34.07387642700007","17386226","R"
"108291","315  CAMBER TRCE  ROSWELL, fulton_county, GA, 300764290","Match","Non_Exact","315 CAMBER TRCE, ROSWELL, GA, 30076","-84.35154967199998,34.07440251100007","649758535","R"
"108292","345  CAMBER TRCE  ROSWELL, fulton_county, GA, 300764290","Match","Non_Exact","345 CAMBER TRCE, ROSWELL, GA, 30076","-84.35165357399995,34.07452167400004","649758535","R"
"108293","2221  ORCHARD PL  ROSWELL, fulton_county, GA, 300766008","Match","Non_Exact","2221 ORCHARD PL, ROSWELL, GA, 30076","-84.35556681099996,34.07684470200007","623911403","L"
"104740","290  LAKEMOORE DR NE ATLANTA, fulton_county, GA, 303423876","Match","Non_Exact","290 LAKEMOORE DR NE, ATLANTA, GA, 30342","-84.37802382499996,33.865412580000054","618349617","L"
