index,input,match,non_exact,street,coordinate,tiger,lr
"157236","11835  ASHWICK PL  ALPHARETTA, fulton_county, GA, 300057290","Match","Non_Exact","11835 ASHWICK PL, JOHNS CREEK, GA, 30005","-84.19374871999997,34.06827050600003","17375325","L"
"158567","150  LAZY LAUREL CHASE   ROSWELL, fulton_county, GA, 300763676","Match","Non_Exact","150 LAZY LAUREL CHASE, ROSWELL, GA, 30076","-84.28136342199997,33.989804320000076","17373547","L"
"157237","630  ASHTREE PATH  JOHNS CREEK, fulton_county, GA, 300057260","Match","Non_Exact","630 ASHTREE PATH, JOHNS CREEK, GA, 30005","-84.19462348499997,34.06813486300007","17375327","L"
"158568","8640  HAVEN WOOD TRL  ROSWELL, fulton_county, GA, 300763656","Match","Non_Exact","8640 HAVEN WOOD TRL, ROSWELL, GA, 30076","-84.28136549799996,33.98873014800006","17373545","L"
"157234","715  CAMBRIDGE CREST LN  ALPHARETTA, fulton_county, GA, 300056780","Match","Non_Exact","715 CAMBRIDGE CREST LN, JOHNS CREEK, GA, 30005","-84.19088147899998,34.07164160600007","17394541","R"
"158565","185  LAZY LAUREL CHASE   ROSWELL, fulton_county, GA, 300763677","Match","Non_Exact","185 LAZY LAUREL CHASE, ROSWELL, GA, 30076","-84.28214215299994,33.98989497800005","17373547","R"
"157235","5770  MILLWICK DR  ALPHARETTA, fulton_county, GA, 300056741","Match","Non_Exact","5770 MILLWICK DR, JOHNS CREEK, GA, 30005","-84.19052725699999,34.07212399100007","17394535","R"
"158566","160  LAZY LAUREL CHASE   ROSWELL, fulton_county, GA, 300763676","Match","Non_Exact","160 LAZY LAUREL CHASE, ROSWELL, GA, 30076","-84.28159269599996,33.989822240000024","17373547","L"
"157238","1350  WORTHINGTON HILLS DR  ROSWELL, fulton_county, GA, 300761721","Match","Non_Exact","1350 WORTHINGTON HILLS DR, ROSWELL, GA, 30076","-84.32457316199998,34.03352505100003","17419317","L"
"158569","8600  HAVEN WOOD TRL  ROSWELL, fulton_county, GA, 300763656","Match","Non_Exact","8600 HAVEN WOOD TRL, ROSWELL, GA, 30076","-84.28253304499998,33.988786177000065","17373549","L"
"157239","305  LIBERTY TRCE  ROSWELL, fulton_county, GA, 300761735","Match","Non_Exact","305 LIBERTY TRCE, ROSWELL, GA, 30076","-84.32331270799995,34.034481448000065","17391487","R"
