index,input,match,non_exact,street,coordinate,tiger,lr
"206730","2878  PEEK RD NW ATLANTA, fulton_county, GA, 30318","Match","Non_Exact","2878 PEEK RD NW, ATLANTA, GA, 30318","-84.48084434299994,33.77567491000008","17339433","L"
"206731","815  MAGNA CARTA DR NW ATLANTA, fulton_county, GA, 303186059","Match","Non_Exact","815 MAGNA CARTA DR NW, ATLANTA, GA, 30318","-84.48123417499994,33.77661906900005","17336848","R"
"206732","839  MAGNA CARTA DR NW ATLANTA, fulton_county, GA, 303186059","Match","Non_Exact","839 MAGNA CARTA DR NW, ATLANTA, GA, 30318","-84.48117675499998,33.77697657300007","17336848","R"
"206733","2824  ALLEGRO DR NW ATLANTA, fulton_county, GA, 303186034","Match","Non_Exact","2824 ALLEGRO DR NW, ATLANTA, GA, 30318","-84.47968546099997,33.77456889800004","17336851","L"
"205402","238  WALKER ST SW ATLANTA, fulton_county, GA, 303131267","Match","Non_Exact","238 WALKER ST SW, ATLANTA, GA, 30313","-84.40290104499996,33.74768424800004","618348861","L"
"206723","866  HIGHTOWER PL NW ATLANTA, fulton_county, GA, 30318","Match","Non_Exact","866 HIGHTOWER PL NW, ATLANTA, GA, 30318","-84.47547832799995,33.77822744000002","17339442","L"
"205401","238  WALKER ST SW ATLANTA, fulton_county, GA, 303131267","Match","Non_Exact","238 WALKER ST SW, ATLANTA, GA, 30313","-84.40290104499996,33.74768424800004","618348861","L"
"206724","856  HIGHTOWER PL NW ATLANTA, fulton_county, GA, 303184560","Match","Non_Exact","856 HIGHTOWER PL NW, ATLANTA, GA, 30318","-84.47548479499994,33.77808228400005","17339442","L"
"205400","238  WALKER ST SW ATLANTA, fulton_county, GA, 303131267","Match","Non_Exact","238 WALKER ST SW, ATLANTA, GA, 30313","-84.40290104499996,33.74768424800004","618348861","L"
"206725","2707  DONALD LEE HOLLOWELL PKWY NW ATLANTA, fulton_county, GA, 303186005","Match","Non_Exact","2707 DONALD LEE HOLLOWELL PKWY NW, ATLANTA, GA, 30318","-84.47628168899996,33.777415172000076","17339435","R"
"206726","2675  DONALD LEE HOLLOWELL PKWY NW ATLANTA, fulton_county, GA, 303188350","Match","Non_Exact","2675 DONALD LEE HOLLWELL PKWY NW, ATLANTA, GA, 30318","-84.47513898599999,33.776938133000044","17339446","R"
"206727","SEABORN RD NW ATLANTA, fulton_county, GA, SEABORN RD NW ATLANTA GA","No_Match"
"206728","2829  PEEK RD NW ATLANTA, fulton_county, GA, 303186094","Match","Non_Exact","2829 PEEK RD NW, ATLANTA, GA, 30318","-84.48054129699995,33.77574651500004","17339433","R"
"206729","2797  PEEK RD NW ATLANTA, fulton_county, GA, 303186069","Match","Non_Exact","2797 PEEK RD NW, ATLANTA, GA, 30318","-84.48000329399997,33.77580627700007","17339433","R"
"205409","238  PETERS ST SW ATLANTA, fulton_county, GA, 303131214","Match","Non_Exact","238 PETERS ST SW, ATLANTA, GA, 30313","-84.40106409099997,33.74804639000007","17344161","L"
"205408","238  PETERS ST SW ATLANTA, fulton_county, GA, 303131234","Match","Non_Exact","238 PETERS ST SW, ATLANTA, GA, 30313","-84.40106409099997,33.74804639000007","17344161","L"
"205407","222  PETERS ST SW ATLANTA, fulton_county, GA, 303131242","Match","Non_Exact","222 PETERS ST SW, ATLANTA, GA, 30313","-84.40084593599994,33.74824743500005","17344161","L"
"206740","376  COLLIER RIDGE DR NW ATLANTA, fulton_county, GA, 303187343","Match","Non_Exact","376 COLLIER RIDGE DR NW, ATLANTA, GA, 30318","-84.47662968099996,33.76556033000003","17339468","L"
"205406","327  FAIR ST SW ATLANTA, fulton_county, GA, 327  FAIR ST SW ATLANTA GA","No_Match"
"206741","398  FORREST RIDGE DR NW ATLANTA, fulton_county, GA, 303187218","Match","Non_Exact","398 FORREST RIDGE DR NW, ATLANTA, GA, 30318","-84.47846414699995,33.76654728700004","17339463","L"
"205405","238  WALKER ST SW ATLANTA, fulton_county, GA, 303131268","Match","Non_Exact","238 WALKER ST SW, ATLANTA, GA, 30313","-84.40290104499996,33.74768424800004","618348861","L"
"206742","410  FORREST RIDGE DR NW ATLANTA, fulton_county, GA, 303187261","Match","Non_Exact","410 FORREST RIDGE DR NW, ATLANTA, GA, 30318","-84.47843732199999,33.76663281800006","17339463","L"
"205404","238  WALKER ST SW ATLANTA, fulton_county, GA, 303131267","Match","Non_Exact","238 WALKER ST SW, ATLANTA, GA, 30313","-84.40290104499996,33.74768424800004","618348861","L"
"206743","2981  COLLIER DR NW ATLANTA, fulton_county, GA, 303187150","Match","Non_Exact","2981 COLLIER DR NW, ATLANTA, GA, 30318","-84.48424992499997,33.763146419000066","17337051","R"
"205403","238  WALKER ST SW ATLANTA, fulton_county, GA, 303131267","Match","Non_Exact","238 WALKER ST SW, ATLANTA, GA, 30313","-84.40290104499996,33.74768424800004","618348861","L"
"206744","2747  ENGLE RD NW ATLANTA, fulton_county, GA, 303187214","Match","Non_Exact","2747 ENGLE RD NW, ATLANTA, GA, 30318","-84.47824526199997,33.769655906000025","17339459","R"
"205413","326  NELSON ST SW ATLANTA, fulton_county, GA, 303131350","Match","Non_Exact","326 NELSON ST SW, ATLANTA, GA, 30313","-84.39825355999994,33.751627307000035","618353872","L"
"206734","664  INDIGO LN NW ATLANTA, fulton_county, GA, 303186048","Match","Non_Exact","664 INDIGO LN NW, ATLANTA, GA, 30318","-84.48129343899996,33.77357334100003","17336853","L"
"205412","158  WALKER ST SW ATLANTA, fulton_county, GA, 303131309","Match","Non_Exact","158 WALKER ST SW, ATLANTA, GA, 30313","-84.40078332199994,33.75036239800005","17344149","L"
"206735","875  ELEANOR CT NW ATLANTA, fulton_county, GA, 303186010","Match","Non_Exact","875 ELEANOR CT NW, ATLANTA, GA, 30318","-84.48390586099998,33.77903048300004","17336836","R"
"205411","205  WALKER ST SW ATLANTA, fulton_county, GA, 303131212","Match","Non_Exact","205 WALKER ST SW, ATLANTA, GA, 30313","-84.40207113199995,33.74900209200007","17344151","R"
"206736","818  KINGS GRANT DR NW ATLANTA, fulton_county, GA, 303186022","Match","Non_Exact","818 KINGS GRANT DR NW, ATLANTA, GA, 30318","-84.48334099999994,33.77751881900008","17336846","L"
"205410","161  MANGUM ST SW ATLANTA, fulton_county, GA, 303131347","Match","Non_Exact","161 MANGUM ST SW, ATLANTA, GA, 30313","-84.39940343699999,33.75080761900006","17408164","R"
"206737","2977  ELEANOR TER NW ATLANTA, fulton_county, GA, 303186078","Match","Non_Exact","2977 ELEANOR TER NW, ATLANTA, GA, 30318","-84.48458476899998,33.777369444000044","17336837","R"
"206738","2692  BAKER RIDGE DR NW ATLANTA, fulton_county, GA, 303187223","Match","Non_Exact","2692 BAKER RIDGE DR NW, ATLANTA, GA, 30318","-84.47583650399997,33.768234620000044","17339501","L"
"206739","2775  DALE CREEK DR NW ATLANTA, fulton_county, GA, 303187208","Match","Non_Exact","2775 DALE CREEK DR NW, ATLANTA, GA, 30318","-84.47808936799998,33.76537811500003","17339693","R"
"199095","9155  NESBIT FERRY RD  JOHNS CREEK, fulton_county, GA, 300228631","No_Match"
"199094","115  EAGLE GLEN RD  JOHNS CREEK, fulton_county, GA, 30022","Match","Non_Exact","115 EAGLE GLEN RD, JOHNS CREEK, GA, 30022","-84.27442951799998,34.000809170000025","642888963","L"
"199093","9155  NESBIT FERRY RD  ALPHARETTA, fulton_county, GA, 300225534","No_Match"
"199092","9155  NESBIT FERRY RD  JOHNS CREEK, fulton_county, GA, 300225534","No_Match"
"199099","2950  GEORGIAN MANOR DR  JOHNS CREEK, fulton_county, GA, 300225200","Match","Non_Exact","2950 GEORGIAN MANOR DR, JOHNS CREEK, GA, 30022","-84.27441096399997,34.00442519400008","17376279","L"
"199098","2980  GEORGIAN MANOR DR  ALPHARETTA, fulton_county, GA, 300225200","Match","Non_Exact","2980 GEORGIAN MANOR DR, JOHNS CREEK, GA, 30022","-84.27357397799994,34.00472569300007","17376279","L"
"199097","2965  GEORGIAN MANOR DR  ALPHARETTA, fulton_county, GA, 300225299","Match","Non_Exact","2965 GEORGIAN MANOR DR, JOHNS CREEK, GA, 30022","-84.27345377699999,34.004748661000065","17376279","R"
"199096","2935  GEORGIAN MANOR DR  ALPHARETTA, fulton_county, GA, 300225299","Match","Non_Exact","2935 GEORGIAN MANOR DR, JOHNS CREEK, GA, 30022","-84.27418473799997,34.004540905000056","17376279","R"
"205419","326  NELSON ST SW ATLANTA, fulton_county, GA, 303131352","Match","Non_Exact","326 NELSON ST SW, ATLANTA, GA, 30313","-84.39825355999994,33.751627307000035","618353872","L"
"206750","2834  BAKER RIDGE DR NW ATLANTA, fulton_county, GA, 303187227","Match","Non_Exact","2834 BAKER RIDGE DR NW, ATLANTA, GA, 30318","-84.48033239299997,33.767550666000034","17339460","L"
