index,input,match,non_exact,street,coordinate,tiger,lr
"121283","816  9TH ST N BESSEMER, Jefferson County, AL, 350205314","Match","Non_Exact","816 9TH ST N, BRIGHTON, AL, 35020","-86.96886352499996,33.39466254200005","81644698","R"
"121282","923  9TH AVE N BESSEMER, Jefferson County, AL, 350205308","Match","Non_Exact","923 9TH AVE N, BRIGHTON, AL, 35020","-86.96984448299997,33.39550114100007","651789037","R"
"121285","815  5TH AVE N BESSEMER, Jefferson County, AL, 350206161","Match","Non_Exact","815 5TH AVE N, BRIGHTON, AL, 35020","-86.96525133699998,33.39185945300005","81548679","R"
"121284","809  8TH ST N BESSEMER, Jefferson County, AL, 35020","Match","Non_Exact","809 8TH ST N, BRIGHTON, AL, 35020","-86.96941775399995,33.39350608900003","81710399","R"
"121281","922  5TH AVE N BESSEMER, Jefferson County, AL, 350205409","Match","Non_Exact","922 5TH AVE N, BRIGHTON, AL, 35020","-86.96418336099998,33.39310013900007","81549532","L"
"121280","900  5TH AVE N BESSEMER, Jefferson County, AL, 350205409","Match","Non_Exact","900 5TH AVE N, BRIGHTON, AL, 35020","-86.96435116799995,33.39289556700004","81549532","L"
"121279","931  3RD AVE N BESSEMER, Jefferson County, AL, 350205450","Match","Non_Exact","931 3RD AVE N, BRIGHTON, AL, 35020","-86.96205409699996,33.39200737500005","81549545","R"
"121276","605  12TH ST N BESSEMER, Jefferson County, AL, 350205560","Match","Non_Exact","605 12TH ST N, BRIGHTON, AL, 35020","-86.96325303999998,33.39690338100007","647561605","R"
"121275","529  12TH ST N BESSEMER, Jefferson County, AL, 350205558","Match","Non_Exact","529 12TH ST N, BRIGHTON, AL, 35020","-86.96220841499996,33.396315343000026","81549357","R"
"121278","1028  10TH AVE N BESSEMER, Jefferson County, AL, 350205323","Match","Non_Exact","1028 10TH AVE N, BRIGHTON, AL, 35020","-86.96984430599997,33.397948530000065","81548572","L"
"121277","701  12TH ST N BESSEMER, Jefferson County, AL, 350205562","Match","Non_Exact","701 12TH ST N, BRIGHTON, AL, 35020","-86.96453111599999,33.39762164600006","81710502","R"
"121272","711  13TH ST N BESSEMER, Jefferson County, AL, 350205531","Match","Non_Exact","711 13TH ST N, BRIGHTON, AL, 35020","-86.96404113299997,33.398937172000046","81710495","R"
"121271","1315  7TH AVE N BESSEMER, Jefferson County, AL, 35020","Match","Non_Exact","1315 7TH AVE N, BRIGHTON, AL, 35020","-86.96335331499995,33.39885906600006","81549344","R"
"121274","600  13TH ST N BESSEMER, Jefferson County, AL, 350205528","Match","Non_Exact","600 13TH ST N, BRIGHTON, AL, 35020","-86.96227666599998,33.39792699800006","81710607","L"
"121273","626  13TH ST N BESSEMER, Jefferson County, AL, 350205528","Match","Non_Exact","626 13TH ST N, BRIGHTON, AL, 35020","-86.96298456899996,33.39832739600007","81710608","L"
"121270","310  18TH ST N BESSEMER, Jefferson County, AL, 350204951","Match","Non_Exact","310 18TH ST N, BRIGHTON, AL, 35020","-86.95451727299996,33.40151117500005","81710651","L"
"121269","300  18TH ST N BESSEMER, Jefferson County, AL, 350204951","Match","Non_Exact","300 18TH ST N, BRIGHTON, AL, 35020","-86.95447203299994,33.40148706300005","81710651","L"
"121268","400  18TH ST N BESSEMER, Jefferson County, AL, 35020","Match","Non_Exact","400 18TH ST N, BRIGHTON, AL, 35020","-86.95550917799994,33.402064213000074","81549406","L"
"122599","6334  EASTERN VALLEY RD  MC CALLA, Jefferson County, AL, 351113121","Match","Non_Exact","6334 EASTERN VALLEY RD, MC CALLA, AL, 35111","-87.04893475499995,33.28507999000004","81708165","L"
"121265","630  18TH ST N BESSEMER, Jefferson County, AL, 350204865","Match","Non_Exact","630 18TH ST N, BRIGHTON, AL, 35020","-86.95863208899999,33.403821598000036","81549329","L"
"122596","7648  JOHN PELHAM TRL  MC CALLA, Jefferson County, AL, 351113127","Match","Non_Exact","7648 JOHN PELHAM TRL, MC CALLA, AL, 35111","-87.04731024599994,33.283398772000055","81544216","R"
