index,input,match,non_exact,street,coordinate,tiger,lr
"17261","417  HILLVIEW DR  FAIRFIELD, Jefferson County, AL, 350641737","Match","Non_Exact","417 HILLVIEW DR, FAIRFIELD, AL, 35064","-86.92478898699994,33.465729371000066","81556182","R"
"18592","322  POPE DR  BESSEMER, Jefferson County, AL, 350231951","Match","Non_Exact","322 POPE DR, BESSEMER, AL, 35023","-87.01476230199995,33.44960964000006","640554410","R"
"17277","1410  4TH AVE  PLEASANT GROVE, Jefferson County, AL, 35127","Match","Non_Exact","1410 4TH AVE, PLEASANT GROVE, AL, 35127","-86.96663161199996,33.474210225000036","81716009","R"
"17278","1328  4TH TER  PLEASANT GROVE, Jefferson County, AL, 35127","Match","Non_Exact","1328 4TH TER, PLEASANT GROVE, AL, 35127","-86.96774064999994,33.47563848600004","627174909","R"
"17279","1324  4TH TER  PLEASANT GROVE, Jefferson County, AL, 351272623","Match","Non_Exact","1324 4TH TER, PLEASANT GROVE, AL, 35127","-86.96773948799995,33.47575553300004","627174909","R"
"17273","313  13TH WAY  PLEASANT GROVE, Jefferson County, AL, 351272606","No_Match"
"17274","320  13TH WAY  PLEASANT GROVE, Jefferson County, AL, 351272601","No_Match"
"17275","411  13TH WAY  PLEASANT GROVE, Jefferson County, AL, 351272604","No_Match"
"17276","1327  4TH TER  PLEASANT GROVE, Jefferson County, AL, 351272630","Match","Non_Exact","1327 4TH TER, PLEASANT GROVE, AL, 35127","-86.96772682799997,33.475654502000054","627174909","L"
"17270","306  13TH PL  PLEASANT GROVE, Jefferson County, AL, 351272602","Match","Non_Exact","306 13TH PL, PLEASANT GROVE, AL, 35127","-86.96358499899998,33.47740685600007","636450291","R"
"17271","1337  PLEASANT GROVE RD  DOLOMITE, Jefferson County, AL, 35061","No_Match"
"17272","1506  FIVE ACRE RD  DOLOMITE, Jefferson County, AL, 35061","Match","Non_Exact","1506 FIVE ACRE RD, DOLOMITE, AL, 35061","-86.96428229299994,33.47306495300006","81547176","L"
"17244","456  CREST DR  FAIRFIELD, Jefferson County, AL, 350641715","Match","Non_Exact","456 CREST DR, FAIRFIELD, AL, 35064","-86.92579725499996,33.46644803700008","81556041","R"
"18575","917  FLORENCE ST  HUEYTOWN, Jefferson County, AL, 350231918","Match","Non_Exact","917 FLORENCE ST, BESSEMER, AL, 35023","-87.01443922799996,33.44515340000004","635558221","L"
"17245","452  CREST DR  FAIRFIELD, Jefferson County, AL, 350641715","Match","Non_Exact","452 CREST DR, FAIRFIELD, AL, 35064","-86.92568192299996,33.46656020700004","81556041","R"
"18576","501  TERRY ST  BESSEMER, Jefferson County, AL, 35023","Match","Non_Exact","501 TERRY ST, BESSEMER, AL, 35023","-87.00912508299996,33.445044336000024","81712368","R"
"17246","428  CREST DR  FAIRFIELD, Jefferson County, AL, 350641715","Match","Non_Exact","428 CREST DR, FAIRFIELD, AL, 35064","-86.92494591399998,33.467191900000046","81556041","R"
"18577","509  TERRY ST  BESSEMER, Jefferson County, AL, 350232072","Match","Non_Exact","509 TERRY ST, BESSEMER, AL, 35023","-87.00922239199997,33.44504548200007","81712368","R"
"17247","416  CREST DR  FAIRFIELD, Jefferson County, AL, 350641715","Match","Non_Exact","416 CREST DR, FAIRFIELD, AL, 35064","-86.92444131499997,33.46711463500003","81556041","R"
"18578","518  TERRY ST  BESSEMER, Jefferson County, AL, 35023","No_Match"
"17240","324  RIDGEWOOD AVE  FAIRFIELD, Jefferson County, AL, 350641742","Match","Non_Exact","324 RIDGEWOOD AVE, FAIRFIELD, AL, 35064","-86.92376450199998,33.467997566000065","81556171","L"
"18571","120  LOUIS AVE  BESSEMER, Jefferson County, AL, 350232105","Match","Non_Exact","120 LOUIS AVE, BESSEMER, AL, 35023","-87.00588787299995,33.45461619800005","81698097","L"
"17241","450  RIDGEWOOD AVE  FAIRFIELD, Jefferson County, AL, 350641744","Match","Non_Exact","450 RIDGEWOOD AVE, FAIRFIELD, AL, 35064","-86.92658025799994,33.46718995200007","81556170","L"
"18572","1467  HUEYTOWN RD  BESSEMER, Jefferson County, AL, 350232061","Match","Non_Exact","1467 HUEYTOWN RD, BESSEMER, AL, 35023","-87.00536461699994,33.451170672000046","633006193","R"
"17242","458  RIDGEWOOD AVE  FAIRFIELD, Jefferson County, AL, 350641744","Match","Non_Exact","458 RIDGEWOOD AVE, FAIRFIELD, AL, 35064","-86.92688235299994,33.46689024400007","81556039","L"
