index,input,match,non_exact,street,coordinate,tiger,lr
"110598","924  53RD ST N BIRMINGHAM, Jefferson County, AL, 35212","Match","Non_Exact","924 53RD ST N, BIRMINGHAM, AL, 35212","-86.75649458099997,33.54168767400006","81726143","L"
"110599","904  52ND WAY N BIRMINGHAM, Jefferson County, AL, 352122438","Match","Non_Exact","904 52ND WAY N, BIRMINGHAM, AL, 35212","-86.75734236299996,33.539521456000045","81726157","L"
"110596","921  53RD ST N BIRMINGHAM, Jefferson County, AL, 352122414","Match","Non_Exact","921 53RD ST N, BIRMINGHAM, AL, 35212","-86.75648325499998,33.541505708000045","81726143","R"
"110597","905  53RD ST N BIRMINGHAM, Jefferson County, AL, 352122414","Match","Non_Exact","905 53RD ST N, BIRMINGHAM, AL, 35212","-86.75648573799998,33.54125876100005","81726143","R"
"110594","965  50TH ST N BIRMINGHAM, Jefferson County, AL, 352123036","Match","Non_Exact","965 50TH ST N, BIRMINGHAM, AL, 35212","-86.76141333199996,33.542142031000026","81578027","R"
"110595","5425  GEORGIA RD  BIRMINGHAM, Jefferson County, AL, 35212","Match","Non_Exact","5425 GEORGIA RD, BIRMINGHAM, AL, 35212","-86.75392231099994,33.54100933900003","81578591","R"
"116729","6532  FOREST DR  FAIRFIELD, Jefferson County, AL, 350641103","Match","Non_Exact","6532 FOREST DR, FAIRFIELD, AL, 35064","-86.92582964299999,33.47345807000005","81716104","R"
"116722","537  SEMINOLE CIR  FAIRFIELD, Jefferson County, AL, 350641121","Match","Non_Exact","537 SEMINOLE CIR, FAIRFIELD, AL, 35064","-86.92362744199994,33.47428099000007","81555969","L"
"116721","525  SEMINOLE CIR  FAIRFIELD, Jefferson County, AL, 350641121","Match","Non_Exact","525 SEMINOLE CIR, FAIRFIELD, AL, 35064","-86.92349663399995,33.473963393000076","81555969","L"
"116724","6513  FOREST DR  FAIRFIELD, Jefferson County, AL, 350641104","Match","Non_Exact","6513 FOREST DR, FAIRFIELD, AL, 35064","-86.92577556699996,33.47369741000006","81716104","L"
"116723","557  SEMINOLE CIR  FAIRFIELD, Jefferson County, AL, 350641121","Match","Non_Exact","557 SEMINOLE CIR, FAIRFIELD, AL, 35064","-86.92401343399996,33.47473563700004","81555969","L"
"116726","521  OSCEOLA CIR  FAIRFIELD, Jefferson County, AL, 350641115","Match","Non_Exact","521 OSCEOLA CIR, FAIRFIELD, AL, 35064","-86.92461934299996,33.47360009500005","81555972","L"
"116725","501  OSCEOLA CIR  FAIRFIELD, Jefferson County, AL, 350641115","Match","Non_Exact","501 OSCEOLA CIR, FAIRFIELD, AL, 35064","-86.92459957699998,33.47330642400004","81555972","L"
"116728","621  OSCEOLA CIR  FAIRFIELD, Jefferson County, AL, 350641117","Match","Non_Exact","621 OSCEOLA CIR, FAIRFIELD, AL, 35064","-86.92580883299996,33.47443353700004","81555970","L"
"116727","609  OSCEOLA CIR  FAIRFIELD, Jefferson County, AL, 350641117","Match","Non_Exact","609 OSCEOLA CIR, FAIRFIELD, AL, 35064","-86.92580298899998,33.47443330700003","81555970","L"
"116731","6500  FOREST DR  FAIRFIELD, Jefferson County, AL, 350641103","Match","Non_Exact","6500 FOREST DR, FAIRFIELD, AL, 35064","-86.92576394299994,33.47384348400004","81716104","R"
"115400","1609  HAMILTON CT  VESTAVIA, Jefferson County, AL, 352432819","Match","Non_Exact","1609 HAMILTON CT, BIRMINGHAM, AL, 35243","-86.77383333299997,33.41884660100004","81656771","L"
"116730","6520  FOREST DR  FAIRFIELD, Jefferson County, AL, 350641103","Match","Non_Exact","6520 FOREST DR, FAIRFIELD, AL, 35064","-86.92580500499997,33.47360260000005","81716104","R"
"116719","616  OSCEOLA CIR  FAIRFIELD, Jefferson County, AL, 350641116","Match","Non_Exact","616 OSCEOLA CIR, FAIRFIELD, AL, 35064","-86.92605312599994,33.47444230600007","81555970","R"
"116718","613  SEMINOLE CIR  FAIRFIELD, Jefferson County, AL, 350641123","Match","Non_Exact","613 SEMINOLE CIR, FAIRFIELD, AL, 35064","-86.92627636899994,33.47540280700008","81716099","L"
"116711","341  MIDWOOD AVE  BIRMINGHAM, Jefferson County, AL, 352281716","Match","Non_Exact","341 MIDWOOD AVE, MIDFIELD, AL, 35228","-86.90677493299995,33.46440322400008","81557042","R"
"116710","6604  CORDREY CT  MIDFIELD, Jefferson County, AL, 352281413","Match","Non_Exact","6604 CORDREY CT, MIDFIELD, AL, 35228","-86.90169897599998,33.46997241500003","81557085","R"
"116713","1244  GALE DR  BIRMINGHAM, Jefferson County, AL, 352281826","Match","Non_Exact","1244 GALE DR, MIDFIELD, AL, 35228","-86.90162516699996,33.46554109600004","651168013","R"
"116712","1205  WOODWARD RD  BIRMINGHAM, Jefferson County, AL, 352281841","Match","Non_Exact","1205 WOODWARD RD, MIDFIELD, AL, 35228","-86.90125232499997,33.46685480700006","81557093","L"
"116715","1212  GALE DR  BIRMINGHAM, Jefferson County, AL, 352281826","Match","Non_Exact","1212 GALE DR, MIDFIELD, AL, 35228","-86.90102890199995,33.46594109900008","651168013","R"
"116714","1236  GALE DR  MIDFIELD, Jefferson County, AL, 352281826","Match","Non_Exact","1236 GALE DR, MIDFIELD, AL, 35228","-86.90152315199998,33.46568012600005","651168013","R"
"116717","609  SEMINOLE CIR  FAIRFIELD, Jefferson County, AL, 350641123","Match","Non_Exact","609 SEMINOLE CIR, FAIRFIELD, AL, 35064","-86.92623325799997,33.47540748600005","81716099","L"
"116716","1100 S GALE DR  BIRMINGHAM, Jefferson County, AL, 35228","No_Match"
"116720","501  SEMINOLE CIR  FAIRFIELD, Jefferson County, AL, 350641121","Match","Non_Exact","501 SEMINOLE CIR, FAIRFIELD, AL, 35064","-86.92339741999996,33.47330181900003","81555969","L"
"116708","6613  CORDREY CT  BIRMINGHAM, Jefferson County, AL, 352281412","Match","Non_Exact","6613 CORDREY CT, MIDFIELD, AL, 35228","-86.90168874399996,33.469759923000026","81557085","L"
