index,input,match,non_exact,street,coordinate,tiger,lr
"29266","614  LINDEN ST  TRUSSVILLE, Jefferson County, AL, 351733211","Match","Non_Exact","614 LINDEN ST, TRUSSVILLE, AL, 35173","-86.62217859699996,33.62204167500005","636446208","R"
"29265","626  LINDEN ST  TRUSSVILLE, Jefferson County, AL, 351733211","Match","Non_Exact","626 LINDEN ST, TRUSSVILLE, AL, 35173","-86.62243853599995,33.622230417000026","636446208","R"
"29264","605  LINDEN ST  TRUSSVILLE, Jefferson County, AL, 351733212","Match","Non_Exact","605 LINDEN ST, TRUSSVILLE, AL, 35173","-86.62195505499994,33.62189650700003","636446208","L"
"29263","609  LINDEN ST  TRUSSVILLE, Jefferson County, AL, 351733212","Match","Non_Exact","609 LINDEN ST, TRUSSVILLE, AL, 35173","-86.62205733599995,33.62194925500006","636446208","L"
"29269","521  BROOKE CIR  TRUSSVILLE, Jefferson County, AL, 351733253","Match","Non_Exact","521 BROOKE CIR, TRUSSVILLE, AL, 35173","-86.62268065899997,33.62492130100003","81638912","R"
"29268","517  BROOKE CIR  TRUSSVILLE, Jefferson County, AL, 351733253","Match","Non_Exact","517 BROOKE CIR, TRUSSVILLE, AL, 35173","-86.62272986699998,33.62489535200007","81638912","R"
"29267","605  TARA LN  TRUSSVILLE, Jefferson County, AL, 351733244","Match","Non_Exact","605 TARA LN, TRUSSVILLE, AL, 35173","-86.62815496599995,33.622026283000025","81646682","R"
"29262","319  BRADFORD CIR  TRUSSVILLE, Jefferson County, AL, 351733277","Match","Non_Exact","319 BRADFORD CIR, TRUSSVILLE, AL, 35173","-86.62813600699997,33.620448526000075","81639908","L"
"29261","600  LINDEN ST  TRUSSVILLE, Jefferson County, AL, 351733211","Match","Non_Exact","600 LINDEN ST, TRUSSVILLE, AL, 35173","-86.62184584099998,33.62185307900006","636446208","R"
"29260","535  LINDEN ST  TRUSSVILLE, Jefferson County, AL, 351731298","Match","Non_Exact","535 LINDEN ST, TRUSSVILLE, AL, 35173","-86.61855028099995,33.620405970000036","81570719","R"
"29277","206  ASHWOOD CIR  TRUSSVILLE, Jefferson County, AL, 351731215","Match","Non_Exact","206 ASHWOOD CIR, TRUSSVILLE, AL, 35173","-86.62314695399994,33.620696063000025","81570716","R"
"29276","825  VANESSA DR  TRUSSVILLE, Jefferson County, AL, 351733290","Match","Non_Exact","825 VANESSA DR, TRUSSVILLE, AL, 35173","-86.62403064299997,33.625751008000066","81662161","R"
"29275","820  VANESSA DR  TRUSSVILLE, Jefferson County, AL, 35173","Match","Non_Exact","820 VANESSA DR, TRUSSVILLE, AL, 35173","-86.62406766099997,33.62573590200003","81662161","L"
"29274","244  WIMBERLY DR  TRUSSVILLE, Jefferson County, AL, 35173","Match","Non_Exact","244 WIMBERLY DR, TRUSSVILLE, AL, 35173","-86.62928107299996,33.623442400000044","81639924","L"
"29279","610  ASHWOOD LN  TRUSSVILLE, Jefferson County, AL, 351731219","Match","Non_Exact","610 ASHWOOD LN, TRUSSVILLE, AL, 35173","-86.62336905299998,33.62036509200004","81570699","R"
"29278","214  ASHWOOD CIR  TRUSSVILLE, Jefferson County, AL, 351731215","Match","Non_Exact","214 ASHWOOD CIR, TRUSSVILLE, AL, 35173","-86.62314316099997,33.62087159200007","81570716","R"
"29273","223  DELANE DR  TRUSSVILLE, Jefferson County, AL, 351733235","Match","Non_Exact","223 DELANE DR, TRUSSVILLE, AL, 35173","-86.62823668099998,33.62227180200006","81696369","R"
"29272","808  VANESSA DR  TRUSSVILLE, Jefferson County, AL, 351733250","Match","Non_Exact","808 VANESSA DR, TRUSSVILLE, AL, 35173","-86.62450098799997,33.625394683000025","81638899","L"
"29271","717  BRITTNEY DR  TRUSSVILLE, Jefferson County, AL, 351733252","Match","Non_Exact","717 BRITTANY DR, TRUSSVILLE, AL, 35173","-86.62315074799994,33.62486424300005","81662160","L"
"29270","516  BROOKE CIR  TRUSSVILLE, Jefferson County, AL, 351733253","Match","Non_Exact","516 BROOKE CIR, TRUSSVILLE, AL, 35173","-86.62273691199994,33.62490461500005","81638912","L"
"29249","1559  WILDERNESS LN  BIRMINGHAM, Jefferson County, AL, 352352852","Match","Non_Exact","1559 WILDERNESS LN, CENTER POINT, AL, 35235","-86.65034042199994,33.62379667700003","651047059","L"
"29244","1708  ANNENDALE CIR  BIRMINGHAM, Jefferson County, AL, 352352845","Match","Non_Exact","1708 ANNENDALE CIR, CENTER POINT, AL, 35235","-86.64980292499996,33.62600069400003","627297739","L"
"29243","1709  ANNENDALE CIR  BIRMINGHAM, Jefferson County, AL, 352352845","Match","Non_Exact","1709 ANNENDALE CIR, CENTER POINT, AL, 35235","-86.64972720199995,33.626017457000046","627297739","R"
"29242","1800  ANNENDALE DR  BIRMINGHAM, Jefferson County, AL, 352352844","Match","Non_Exact","1800 ANNENDALE DR, CENTER POINT, AL, 35235","-86.64827322399998,33.62599336000005","627297737","R"
"29241","1788  ANNENDALE DR  BIRMINGHAM, Jefferson County, AL, 352352800","Match","Non_Exact","1788 ANNENDALE DR, CENTER POINT, AL, 35235","-86.64835155299994,33.62665436300006","637680464","R"
"29248","1776  OLD WAGON RD  BIRMINGHAM, Jefferson County, AL, 35235","No_Match"
"29247","1784  OLD WAGON RD  BIRMINGHAM, Jefferson County, AL, 35235","No_Match"
"29246","1705  ANNENDALE DR  BIRMINGHAM, Jefferson County, AL, 352352814","Match","Non_Exact","1705 ANNENDALE DR, CENTER POINT, AL, 35235","-86.65137308599998,33.626601521000055","637680464","L"
"29245","1726  ANNENDALE CIR  BIRMINGHAM, Jefferson County, AL, 352352845","Match","Non_Exact","1726 ANNENDALE CIR, CENTER POINT, AL, 35235","-86.64971833099997,33.626006920000066","627297739","L"
"29240","1784  ANNENDALE DR  BIRMINGHAM, Jefferson County, AL, 352352800","Match","Non_Exact","1784 ANNENDALE DR, CENTER POINT, AL, 35235","-86.64845242599995,33.626741810000055","637680464","R"
"29255","711  LINDEN ST  TRUSSVILLE, Jefferson County, AL, 351733228","Match","Non_Exact","711 LINDEN ST, TRUSSVILLE, AL, 35173","-86.62419347699995,33.624385421000056","81638903","L"
"29254","697  LINDEN ST  TRUSSVILLE, Jefferson County, AL, 351733212","Match","Non_Exact","697 LINDEN ST, TRUSSVILLE, AL, 35173","-86.62380494299998,33.623933460000046","81638903","L"
"29253","4277  LEXIE CIR  TRUSSVILLE, Jefferson County, AL, 351733299","Match","Non_Exact","4277 LEXIE CIR, TRUSSVILLE, AL, 35173","-86.62249955999994,33.62881203000006","624018495","L"
"29252","4250  VALLEY RD  BIRMINGHAM, Jefferson County, AL, 35235","Match","Non_Exact","4250 VALLEY RD, CENTER POINT, AL, 35235","-86.62669506499998,33.62907897600007","81732965","R"
"29259","207  ASHWOOD CIR  TRUSSVILLE, Jefferson County, AL, 351731216","Match","Non_Exact","207 ASHWOOD CIR, TRUSSVILLE, AL, 35173","-86.62313378899995,33.62069586500007","81570716","L"
"29258","206  ASHTON AVE  TRUSSVILLE, Jefferson County, AL, 351731211","Match","Non_Exact","206 ASHTON AVE, TRUSSVILLE, AL, 35173","-86.62532002199998,33.62068968700004","81570697","R"
"29257","595  STERLING CIR  TRUSSVILLE, Jefferson County, AL, 351731440","Match","Non_Exact","595 STERLING CIR, TRUSSVILLE, AL, 35173","-86.62390280899996,33.62374837400006","650747672","R"
"29256","591  STERLING CIR  TRUSSVILLE, Jefferson County, AL, 351731440","Match","Non_Exact","591 STERLING CIR, TRUSSVILLE, AL, 35173","-86.62395773099996,33.62372026600008","650747672","R"
"29251","1721  TIMBERCREST CIR  BIRMINGHAM, Jefferson County, AL, 352351735","Match","Non_Exact","1721 TIMBERCREST CIR, CENTER POINT, AL, 35235","-86.65459455399997,33.627322726000045","651046705","R"
"29250","1672  BREWSTER RD  BIRMINGHAM, Jefferson County, AL, 352351733","Match","Non_Exact","1672 BREWSTER RD, CENTER POINT, AL, 35235","-86.65494335399995,33.62611457700007","651046992","L"
"20896","6939  JOHNS RD  BESSEMER, Jefferson County, AL, 350237334","Match","Non_Exact","6939 JOHNS RD, BESSEMER, AL, 35023","-87.07352723999998,33.38788014200003","81769724","R"
"20895","4046  HARDIMAN LN  BESSEMER, Jefferson County, AL, 35023","Match","Non_Exact","4046 HARDIMAN LN, BESSEMER, AL, 35023","-87.07048578799998,33.391845448000026","647621140","R"
"20894","5521  POWDER PLANT LN  BESSEMER, Jefferson County, AL, 350226196","No_Match"
"20893","5501  POWDER PLANT LN  BESSEMER, Jefferson County, AL, 35022","No_Match"
"20892","5565  JOHNS RD  BESSEMER, Jefferson County, AL, 350235929","Match","Non_Exact","5565 JOHNS RD, BESSEMER, AL, 35023","-87.02601040599995,33.39318195200008","81769794","R"
"20891","3939  OLD JOHNS RD  HUEYTOWN, Jefferson County, AL, 350237345","No_Match"
"20890","1425  VIRGINIA LN  BESSEMER, Jefferson County, AL, 350237302","Match","Non_Exact","1425 VIRGINIA LN, BESSEMER, AL, 35023","-87.04036274999999,33.400553398000056","640553552","R"
"29229","1705  TALL OAK CIR  BIRMINGHAM, Jefferson County, AL, 35235","Match","Non_Exact","1705 TALL OAK CIR, CENTER POINT, AL, 35235","-86.65514978799996,33.62272313300008","635557356","R"
"29228","1508  CEDARGATE CIR  BIRMINGHAM, Jefferson County, AL, 352352810","Match","Non_Exact","1508 CEDARGATE CIR, CENTER POINT, AL, 35235","-86.65573348499998,33.62257342000004","81615030","R"
"29227","1713  TALL OAK CIR  BIRMINGHAM, Jefferson County, AL, 35235","Match","Non_Exact","1713 TALL OAK CIR, CENTER POINT, AL, 35235","-86.65490489899997,33.62254533600003","635557356","R"
